user_id,KC1,KC2,KC3,KC4,KC5,KC6,score_rate,is_test
0,0.16686544,0.0029167894,0.0031160293,0.11622733,0.025788376,0.057587758,0.0625,True
1,0.083692774,0.0029026815,0.0049850214,0.11627423,0.02574972,0.057644416,0.0625,True
2,0.16779466,0.0040110694,0.023993937,0.1199143,0.025813028,0.12049299,0.15625,True
3,0.08421964,0.0043346453,0.009449841,0.22809955,0.055414625,0.05794891,0.125,True
4,0.04137285,0.0028815556,0.0030917497,0.11620263,0.025742596,0.05757935,0.0,True
5,0.08368679,0.002892213,0.0049131038,0.11621369,0.02575354,0.057584606,0.0625,True
6,0.083750874,0.0029482928,0.0091645615,0.11632041,0.02575786,0.0576864,0.09375,True
7,0.08395935,0.0029891515,0.0031144572,0.116305135,0.055167075,0.057590466,0.0625,True
8,0.16820239,0.005524094,0.015543448,0.23162007,0.0260201,0.120877445,0.15625,True
9,0.16680531,0.002903014,0.0030965754,0.11621072,0.025761673,0.057581257,0.0625,True
10,0.043025866,0.0051019397,0.025780056,0.12122943,0.025751019,0.121446,0.09375,True
11,0.1680192,0.0060585113,0.012047799,0.116702355,0.025889305,0.05808149,0.125,True
12,0.08370538,0.0029037367,0.004934113,0.116220035,0.025757294,0.057590608,0.0625,True
13,0.08429114,0.0047883242,0.014267725,0.23113105,0.025801273,0.12058919,0.125,True
14,0.08582734,0.0059575997,0.04609255,0.12156906,0.025769819,0.12169922,0.15625,True
15,0.08367783,0.0028872546,0.0030946038,0.11620707,0.025749406,0.057580803,0.03125,True
16,0.16756617,0.0037453235,0.014159168,0.11956792,0.025791898,0.12025522,0.125,True
17,0.084301665,0.005220037,0.010239563,0.116444565,0.025866138,0.057825472,0.09375,True
18,0.08458928,0.005163623,0.022164408,0.2291422,0.025774645,0.059179842,0.125,True
19,0.043025866,0.0051019397,0.025780056,0.12122943,0.025751019,0.121446,0.09375,True
20,0.08587039,0.0077618193,0.026096463,0.121401146,0.02585645,0.1215832,0.125,True
21,0.04137285,0.0028815556,0.0030917497,0.11620263,0.025742596,0.05757935,0.0,True
22,0.16776338,0.003935539,0.011902569,0.11710703,0.025802348,0.058405537,0.125,True
23,0.1685011,0.0061135767,0.016573869,0.23248294,0.025942806,0.12153174,0.15625,True
24,0.083988465,0.0032034654,0.0055840537,0.11639304,0.025758961,0.057768688,0.0625,True
25,0.043025866,0.0051019397,0.025780056,0.12122943,0.025751019,0.121446,0.09375,True
26,0.08367783,0.0028872546,0.0030946038,0.11620707,0.025749406,0.057580803,0.03125,True
27,0.08544544,0.005303595,0.02588279,0.1213134,0.025759764,0.12150688,0.125,True
28,0.04137285,0.0028815556,0.0030917497,0.11620263,0.025742596,0.05757935,0.0,True
29,0.16682877,0.0041866014,0.0031341575,0.11621293,0.025770565,0.057585288,0.0625,True
30,0.08544544,0.005303595,0.02588279,0.1213134,0.025759764,0.12150688,0.125,True
31,0.16686544,0.0029167894,0.0031160293,0.11622733,0.025788376,0.057587758,0.0625,True
32,0.08574264,0.005806233,0.02607432,0.12147249,0.025762832,0.12163038,0.125,True
33,0.3086024,0.0042563123,0.0032085588,0.11624425,0.02581475,0.057603285,0.09375,True
